iter	Passed	Remaining
414	12692	17891
415	12716	17852
416	12741	17813
417	12763	17771
418	12791	17737
419	12815	17698
420	12837	17654
421	12864	17619
422	12890	17583
423	12911	17539
424	12933	17498
425	12956	17458
426	12981	17420
427	13005	17380
428	13028	17341
429	13052	17302
430	13078	17266
431	13107	17233
432	13126	17188
433	13150	17150
434	13169	17104
435	13190	17062
436	13213	17023
437	13235	16982
438	13259	16943
439	13282	16904
440	13305	16865
441	13328	16826
442	13352	16788
443	13377	16751
444	13401	16713
445	13425	16677
446	13449	16638
447	13471	16599
448	13500	16567
449	13522	16527
450	13547	16491
451	13567	16449
452	13594	16415
453	13617	16376
454	13642	16340
455	13665	16302
456	13689	16265
457	13715	16230
458	13739	16193
459	13767	16161
460	13793	16127
461	13821	16095
462	13841	16053
463	13865	16017
464	13892	15983
465	13924	15956
466	13947	15918
467	13974	15885
468	13998	15849
469	14025	15816
470	14052	15783
471	14073	15743
472	14095	15704
473	14112	15660
474	14137	15626
475	14161	15589
476	14184	15552
477	14210	15518
478	14236	15485
479	14260	15449
480	14288	15416
481	14311	15380
482	14337	15347
483	14366	15316
484	14386	15276
485	14421	15252
486	14451	15222
487	14488	15201
488	14517	15170
489	14549	15143
490	14579	15113
491	14607	15082
492	14639	15054
493	14668	15025
494	14705	15002
495	14740	14978
496	14767	14945
497	14797	14916
498	14833	14892
499	14865	14865
500	14895	14836
501	14924	14805
502	14954	14776
503	14983	14745
504	15011	14714
505	15039	14683
506	15072	14656
507	15102	14626
508	15134	14599
509	15164	14570
510	15196	14542
511	15234	14520
512	15269	14495
513	15304	14470
514	15341	14447
515	15373	14419
516	15403	14390
517	15435	14362
518	15465	14333
519	15496	14304
520	15525	14274
521	15555	14244
522	15589	14218
523	15620	14189
524	15652	14162
525	15679	14128
526	15711	14101
527	15739	14070
528	15773	14043
529	15805	14016
530	15838	13988
531	15884	13973
532	15920	13949
533	15958	13926
534	15990	13898
535	16027	13874
536	16057	13844
537	16087	13814
538	16119	13787
539	16146	13754
540	16180	13728
541	16214	13701
542	16243	13670
543	16277	13644
544	16314	13620
545	16340	13587
546	16371	13557
547	16404	13531
548	16435	13502
549	16469	13474
550	16501	13446
551	16540	13424
552	16577	13399
553	16609	13371
554	16640	13342
555	16676	13317
556	16711	13291
557	16740	13260
558	16773	13232
559	16801	13201
560	16835	13174
561	16868	13146
562	16900	13117
563	16936	13092
564	16973	13068
565	16999	13035
566	17035	13009
567	17068	12981
568	17100	12953
569	17135	12926
570	17165	12896
571	17197	12868
572	17230	12840
573	17263	12812
574	17294	12783
575	17329	12756
576	17361	12728
577	17392	12698
578	17422	12668
579	17454	12639
580	17487	12611
581	17521	12583
582	17556	12557
583	17592	12531
584	17622	12501
585	17651	12470
586	17678	12438
587	17712	12410
588	17741	12380
589	17773	12350
590	17800	12319
591	17830	12288
592	17867	12262
593	17897	12233
594	17927	12202
595	17956	12172
596	17989	12143
597	18025	12117
598	18058	12089
599	18087	12058
600	18119	12029
601	18150	11999
602	18180	11969
603	18211	11940
604	18239	11908
605	18269	11878
606	18298	11847
607	18325	11815
608	18351	11782
609	18385	11754
610	18417	11725
611	18450	11697
612	18483	11668
613	18511	11637
614	18542	11608
615	18577	11580
616	18609	11551
617	18638	11520
618	18672	11493
619	18705	11464
620	18735	11434
621	18768	11406
622	18805	11380
623	18835	11349
624	18863	11317
625	18895	11288
626	18926	11259
627	18960	11231
628	18999	11206
629	19029	11176
630	19058	11145
631	19096	11119
632	19128	11090
633	19161	11061
634	19196	11034
635	19230	11006
636	19266	10979
637	19296	10948
638	19320	10914
639	19350	10884
640	19383	10855
641	19411	10824
642	19450	10799
643	19478	10767
644	19511	10738
645	19543	10709
646	19573	10679
647	19604	10649
648	19642	10623
649	19655	10583
650	19677	10549
651	19694	10511
652	19713	10475
653	19731	10438
654	19752	10403
655	19769	10367
656	19787	10330
657	19805	10293
658	19835	10264
659	19867	10234
660	19898	10205
661	19930	10175
662	19965	10148
663	19998	10119
664	20031	10091
665	20061	10061
666	20094	10032
667	20130	10005
668	20162	9975
669	20201	9949
670	20234	9921
671	20268	9893
672	20300	9863
673	20325	9831
674	20375	9810
675	20407	9781
676	20443	9753
677	20478	9725
678	20505	9694
679	20537	9664
680	20577	9639
681	20609	9609
682	20646	9582
683	20676	9552
684	20706	9522
685	20734	9490
686	20772	9464
687	20802	9433
688	20833	9403
689	20873	9377
690	20900	9346
691	20931	9316
692	20964	9287
693	20994	9257
694	21046	9236
695	21078	9206
696	21107	9175
697	21139	9146
698	21172	9117
699	21208	9089
2	9210
700	21528	9182
701	21553	9149
702	21588	9120
