iter	RMSE
877	2242832.935
878	2242700.831
879	2242531.763
880	2242373.594
881	2242226.884
882	2242022.128
883	2241870.259
884	2241723.773
885	2241591.39
886	2241406.208
887	2241241.466
888	2241141.652
889	2240910.255
890	2240745.781
891	2240627.434
892	2240567.392
893	2240415.552
894	2240218.786
895	2240090.128
896	2239822.411
897	2239620.313
898	2239411.212
899	2239287.94
900	2239113.336
901	2238950.569
902	2238921.116
903	2238804.198
904	2238635.414
905	2238414.507
906	2238337.249
907	2238207.046
908	2238039.481
909	2237824.029
910	2237626.185
911	2237450.465
912	2237276.003
913	2237059.401
914	2236892.862
915	2236710.905
916	2236489.155
917	2236206.295
918	2236076.096
919	2235934.663
920	2235796.348
921	2235672.606
922	2235606.854
923	2235377.6
924	2235232.046
925	2235095.017
926	2234976.479
927	2234816.666
928	2234628.678
929	2234490.18
930	2234287.135
931	2234054.478
932	2233891.702
933	2233695.098
934	2233597.256
935	2233370.252
936	2233259.501
937	2233071.427
938	2232813.369
939	2232720.888
940	2232562.041
941	2232350.538
942	2232191.338
943	2232030.249
944	2231908.406
945	2231714.862
946	2231537.467
947	2231384.683
948	2231308.928
949	2231119.386
950	2230935.913
951	2230629.239
952	2230480.1
953	2230404.249
954	2230207.858
955	2230070.6
956	2229874.105
957	2229706.99
958	2229609.544
959	2229560.118
960	2229376.472
961	2229218.677
962	2229067.977
963	2228901.788
964	2228848.865
965	2228635.113
966	2228451.487
967	2228260.692
968	2228114.008
969	2227963.461
970	2227756.928
971	2227590.626
972	2227358.739
973	2227295.422
974	2227117.413
975	2226999.834
976	2226930.991
977	2226662.315
978	2226568.053
979	2226489.247
980	2226167.577
981	2226098.67
982	2225955.946
983	2225751.453
984	2225654.136
985	2225555.799
986	2225395.984
987	2225262.784
988	2225149.663
989	2224931.154
990	2224819.295
991	2224604.246
992	2224450.05
993	2224374.914
994	2224216.848
995	2223981.065
996	2223729.486
997	2223539.717
998	2223379.347
999	2223203.455
